关键词,原始等级,分类,情感倾向,使用场景,严重程度,建议处理方式
我要投诉,Low,投诉抱怨,负面,客户服务,中等,及时回应
我不走了,Low,拒绝抗议,负面,服务场景,中等,耐心沟通
你们太过分了,Low,愤怒表达,负面,冲突场景,高,紧急处理
我要找你们领导,Low,投诉升级,负面,客户服务,高,转接领导
免什么,Low,质疑询问,中性,普通对话,低,正常回应
为什么不给我,Low,不满抱怨,负面,服务场景,中等,解释说明
为什么不给我看,Low,不满抱怨,负面,服务场景,中等,提供信息
为什么不给我处理,Low,不满抱怨,负面,服务场景,中等,说明流程
为什么不给我解决,Low,不满抱怨,负面,服务场景,中等,提供解决方案
为什么不给我安排,Low,不满抱怨,负面,服务场景,中等,协调安排
为什么不给我叫医生,Low,医疗需求,负面,医疗场景,高,联系医生
为什么不给我叫护士,Low,医疗需求,负面,医疗场景,高,联系护士
我不同意,Low,拒绝反对,负面,决策场景,中等,协商讨论
我反对,Low,拒绝反对,负面,决策场景,中等,听取意见
太贵了,Low,价格抱怨,负面,商务场景,低,价格解释
不公平,Low,公平质疑,负面,服务场景,中等,公正处理
你们欺负人,Low,被害感受,负面,冲突场景,高,安抚道歉
我要退钱,Low,退款要求,负面,商务场景,中等,处理退款
这不对,Low,错误指出,负面,服务场景,低,核实纠正
你们骗人,Low,欺骗指控,负面,信任场景,高,澄清真相
我很生气,Low,愤怒表达,负面,情绪场景,中等,情绪安抚
太慢了,Low,效率抱怨,负面,服务场景,低,加快处理
不满意,Low,满意度低,负面,服务场景,中等,改进服务
我要举报,Low,举报威胁,负面,监督场景,高,规范处理
你们不负责,Low,责任指控,负面,服务场景,中等,承担责任
我等不了,Low,时间焦虑,负面,服务场景,中等,优先处理
为什么这样,Low,疑问不解,中性,普通对话,低,详细解释
不合理,Low,合理质疑,负面,服务场景,低,解释合理性
我不相信,Low,信任缺失,负面,信任场景,中等,建立信任
你们态度不好,Low,服务态度,负面,服务场景,中等,改善态度
我很着急,Low,焦虑表达,负面,情绪场景,中等,及时处理
不可能,Low,否定质疑,负面,认知场景,低,提供证据
我要求赔偿,Low,赔偿要求,负面,商务场景,高,评估赔偿
你们说谎,Low,诚信质疑,负面,信任场景,高,诚实回应
我不接受,Low,拒绝接受,负面,决策场景,中等,重新协商
太麻烦了,Low,流程抱怨,负面,服务场景,低,简化流程
我要申诉,Low,申诉要求,负面,监督场景,高,申诉流程
不专业,Low,专业质疑,负面,服务场景,中等,提升专业
